TitleClean,AuthorClean,AuthorMore,Remove,Pages,WorldCatLink,GoodreadsLink,HasImage,GoodreadsRating,GoodreadsReviews,Category,PubYear,BibNum
The Borzoi Turgenev,"Turgenec, Ivan Sergeevich","(translator) Stevens, Harry",,801,https://www.worldcat.org/title/borzoi-turgenev/oclc/1730598,,TRUE,,,"Russia, Manners and customs",1950,156753
This Was Alaska,"Parker, Mary M.",,,237,https://www.worldcat.org/title/this-was-alaska/oclc/18345179,https://www.goodreads.com/book/show/38591376-this-was-alaska,TRUE,0,0,"Alaska, Inside Passage",1950,66023
U.S. Stories,"Foley, Martha",,,683,https://www.worldcat.org/title/us-stories-regional-stories-from-the-forty-eight-states/oclc/1421860,https://www.goodreads.com/book/show/16060129-u-s-stories,TRUE,5,1,"Short stories, Manners and customs",1949,164771
Sons of Noah,"Farson, Negley",,,317,https://www.worldcat.org/title/sons-of-noah/oclc/485609898,,TRUE,,,,1949,126556
The Road Between,"Farrell, James",,,412,https://www.worldcat.org/title/road-between/oclc/30255540,,TRUE,,,"Authors, Married people, Marriage, Manners, New York",1949,151236
Light in the Sky,"Young, Agnes Brooks",,,341,https://www.worldcat.org/title/light-in-the-sky/oclc/226060069,,TRUE,,,"Iron industry and trade, Working class, Capitalists and financiers",1948,100531
Garden Shower,"Running, Corinne",,,186,https://www.worldcat.org/title/garden-shower/oclc/1806996,,TRUE,,,,1948,314503
Reunion at Meads,"Wallace, Kathleen",,,243,https://www.worldcat.org/title/reunion-at-meads-a-novel-of-time-and-many-women/oclc/3682162,,TRUE,,,,1948,163383
Fear is the Parent,"Ferro, Mathilde",,,273,https://www.worldcat.org/title/fear-is-the-parent-a-novel/oclc/1675053,,TRUE,,,,1948,420447
Mister St. John,"Faure, Raoul C.",,,279,https://www.worldcat.org/title/mister-st-john-a-novel/oclc/1675200,https://www.goodreads.com/book/show/32617226-mister-st-john,TRUE,0,0,,1947,151784
A Caravan of Music Stories by the World’s Great Authors,"Fabricant, Noah",,,312,https://www.worldcat.org/title/caravan-of-music-stories-by-the-worlds-great-authors/oclc/1213090,,TRUE,,,"Music, Short stories",1947,182363
Meeko,"Allen, Albert Cooper","(illustrator) Wilson, Helen Hughes",,232,https://www.worldcat.org/title/meeko/oclc/15595173,,TRUE,,,,1947,164206
Home is If You Find It,"Nye, Bud","(illustrator) Galdone, Paul",,251,https://www.worldcat.org/title/home-is-if-you-find-it/oclc/1331212,,TRUE,,,"Humurous stories, Minnesota, Saint Paul",1947,182227
Still to the West,"Jones, Nard",,,,https://www.worldcat.org/title/still-to-the-west/oclc/315060778,https://www.goodreads.com/book/show/7739839-still-to-the-west,TRUE,4,1,,1946,123740
A Frenchman Must Die,"Boyle, Kay",,,213,https://www.worldcat.org/title/frenchman-must-die/oclc/716597225,https://www.goodreads.com/book/show/12586866-a-frenchman-must-die,TRUE,3,3,,1946,129226
Anna Zenger,"Cooper, Kent",,,345,https://www.worldcat.org/title/anna-zenger-mother-of-freedom/oclc/906138330,,TRUE,,,,1946,139896
Family on the Hill,"Flack, Ambrose",,,247,https://www.worldcat.org/title/family-on-the-hill-a-novel/oclc/3461637,,TRUE,,,,1945,151789
From Out This House,"Greve, Alice Wheeler",,,299,https://www.worldcat.org/title/from-out-this-house/oclc/780206638,https://www.goodreads.com/book/show/22173294-from-out-this-house,TRUE,2,2,Oregon Territory,1945,152099
Cathedral in the Sun,"Fisher, Anne B.",,,408,https://www.worldcat.org/title/cathedral-in-the-sun/oclc/7393658,,TRUE,,,California,1945,162393
Dark Rainbow,"Butler, Gerald",,,211,https://www.worldcat.org/title/dark-rainbow/oclc/3094313,,TRUE,,,World War,1945,595076
Guns of the Oregon Trail,"Chiappe, Eli Albert",,,256,https://www.worldcat.org/title/guns-of-the-oregon-trail/oclc/7935747,,TRUE,,,,1945,249781
Johnny Painter,"Pettibone, Anita",,,314,https://www.worldcat.org/title/johnny-painter/oclc/1895630,,TRUE,,,Washington Territory,1944,155674
Full of Thy Riches,"Ferrell, Elizabeth | Ferrell, Margaret",,,315,https://www.worldcat.org/title/full-of-thy-riches/oclc/1678776,,TRUE,,,,1944,596981
Broken River,"Hawkins, John | Hawkins, Ward",,,134,https://www.worldcat.org/title/broken-river/oclc/54326819,,TRUE,,,,1944,163553
Devil on His Trail,"Hawkins, John | Hawkins, Ward",,,292,https://www.worldcat.org/title/devil-on-his-trail/oclc/220020353,,TRUE,,,,1944,153652
My Mother Bids Me Bind My Hair,"Sale, Elizabeth",,,244,https://www.worldcat.org/title/my-mother-bids-me-bind-my-hair/oclc/643894263,,TRUE,,,Families,1944,163640
White Victory,"Case, Robert Ormund",,,176,https://www.worldcat.org/title/white-victory/oclc/30183538,,TRUE,,,,1943,420042
Yesterday’s Children,"Warrick, LaMar",,,,https://www.worldcat.org/title/yesterdays-children/oclc/1098342116,https://www.goodreads.com/book/show/9103935-yesterday-s-children,TRUE,0,0,,1943,163397
Starbuck Valley Winter,"Haig-Brown, Roderick","(illustrator) De Feo, Charles",,272,https://www.worldcat.org/title/starbuck-valley-winter/oclc/48579637,https://www.goodreads.com/book/show/2192128.Starbuck_Valley_Winter,TRUE,3.67,6,"Trappers, Friendship, Self-reliance, Vancouver Island, Bildungsromans, Adventure stories ",1943,181907
The Legend Whispered,"MacArthur, Dougall",,,308,https://www.worldcat.org/title/legend-whispered/oclc/5332512,,TRUE,,,"Apple growers, Washington",1943,163542
Rice in the Wind,"Wallace, Kathleen",,,294,https://www.worldcat.org/title/rice-in-the-wind/oclc/1634886,,TRUE,,,,1943,162851
"Sophie Halenczik, American","Feld, Rose C.","(illustrator) Alajalov, Constantin",,176,https://www.worldcat.org/title/sophie-halenczik-american/oclc/613157864,https://www.goodreads.com/book/show/20619436-sophie-halenczik-american,TRUE,2.5,2,"World War, Women in war, War work",1943,151786
Recitation from Memory,"Sale, Elizabeth",,,298,https://www.worldcat.org/title/recitation-from-memory/oclc/681313900,,TRUE,,,,1943,181909
War Tide,"Lin, Tai-yi",,,287,https://www.worldcat.org/title/war-tide/oclc/11393219,,TRUE,,,Sino-Japanese War,1943,181922
The Voyage of Captain Bart,"Erskine, John",,,307,https://www.worldcat.org/title/voyage-of-captain-bart/oclc/917960385,,TRUE,,,,1943,260367
For All Men Born,"Mackay, Margaret M.",,,292,https://www.worldcat.org/title/for-all-men-born-a-novel/oclc/612920076,,TRUE,,,,1943,162842
Come Gentle Spring,"Bolster, Evelyn",,,378,https://www.worldcat.org/title/come-gentle-spring/oclc/2087596,,TRUE,,,,1942,181841
Dacey Hamilton,"Van Doren, Dorothy",,,,https://www.worldcat.org/title/dacey-hamilton-a-novel/oclc/314900442,,TRUE,,,,1942,154932
Novelty on Earth,"Duley, Margaret",,,300,https://www.worldcat.org/title/novelty-on-earth/oclc/612854814,,TRUE,,,,1942,259351
Scandal Rag,"Harrington, Joseph",,,240,https://www.worldcat.org/title/scandal-rag/oclc/5664776,,TRUE,,,"Tabloid newspapers, Newspapers, Political corruption",1942,598158
Young Ames,"Edmonds, Walter D.",,,318,https://www.worldcat.org/title/young-ames/oclc/12323081,https://www.goodreads.com/book/show/6068136-young-ames,TRUE,3.67,3,,1942,125542
Come Back to Wayne County,"Falstaff, Jack",,,244,https://www.worldcat.org/title/come-back-to-wayne-county/oclc/557926625,https://www.goodreads.com/book/show/18158168-come-back-to-wayne-county,TRUE,1,1,"Wayne County, Ohio",1942,162951
Enduring Riches,"Flint, Margaret",,,281,https://www.worldcat.org/title/enduring-riches/oclc/6655041,,TRUE,,,"Country life, Families, Husband and wife, Maine",1942,615144
"Light Down, Stranger","Pettibone, Anita",,,,https://www.worldcat.org/title/light-down-stranger/oclc/937617762,,TRUE,,,,1942,156515
Faith the Root,"Fleury, Barbara Frances",,,166,https://www.worldcat.org/title/faith-the-root/oclc/220125686,,TRUE,,,,1942,151791
Restless are the Sails,"Eaton, Evelyn",,,348,https://www.worldcat.org/title/restless-are-the-sails/oclc/53037014,https://www.goodreads.com/book/show/7792710-restless-are-the-sails,TRUE,4,5,"Louisbourg, Nova Scotia",1941,125471
Mrs. Doratt,"Erskine, John",,,227,https://www.worldcat.org/title/mrs-doratt-a-novel/oclc/906816,,TRUE,,,,1941,162694
The Big Snow,"Falstaff, Jack",,,145,https://www.worldcat.org/title/big-snow-christmas-at-jacobys-corners/oclc/499074,,TRUE,,,"Wayne County, Ohio",1941,126757
Waters of the Wilderness,"Seifert, Shirley",,,,https://www.worldcat.org/title/waters-of-the-wilderness/oclc/948743262,https://www.goodreads.com/book/show/3297462-waters-of-the-wilderness,TRUE,0,0,,1941,162507
Back o’ the Mountain,"Flint, Margaret",,,269,https://www.worldcat.org/title/back-o-the-mountain/oclc/952071474,,TRUE,,,,1940,181779
Pro Quarterback,"Haines, Donal Hamilton",,,266,https://www.worldcat.org/title/pro-quarterback/oclc/5878363,,TRUE,,,"Quarterbacks, Football players",1940,598124
Jacoby’s Corners,"Falstaff, Jack",,,242,https://www.worldcat.org/title/jacobys-corners/oclc/698033,,TRUE,,,"Wayne County, Ohio",1940,126758
A Castle in Carinthia,"Fabricius, Johan","(translator) Renier, G.J. | (translator) Hallett, David",,,https://www.worldcat.org/title/castle-in-carinthia/oclc/937942337,,TRUE,,,,1940,598084
Morning Shows the Day,"Bolster, Evelyn",,,301,https://www.worldcat.org/title/morning-shows-the-day/oclc/760064919,,TRUE,,,,1940,233820
Sparks from Home Fires,"Monroe, Anne Shannon",,,267,https://www.worldcat.org/title/sparks-from-home-fires/oclc/1488271,,TRUE,,,"Country life, Oregon",1940,154692
From What Dark Roots...,"Findley, Francine",,,292,https://www.worldcat.org/title/from-what-dark-roots/oclc/560560498,,TRUE,,,,1940,596967
No Hour of History,"Ford, Elisabeth",,,330,https://www.worldcat.org/title/no-hour-of-history-a-novel/oclc/615151314,,TRUE,,,,1940,151796
Among the Sourdoughs,"Simonsen, Sigurd Jay",,,153,https://www.worldcat.org/title/among-the-sourdoughs-a-novel/oclc/774505460,,TRUE,,,,1940,128059
A Matter of Business,"Farnol, Jeffery",,,320,https://www.worldcat.org/title/matter-of-business/oclc/651964064,https://www.goodreads.com/book/show/40018276-a-matter-of-business-and-other-stories,TRUE,,,"romance, historical",1940,162572
Treasure Below,"Ellsberg, Edward",,,305,https://www.worldcat.org/title/treasure-below/oclc/547420348,,TRUE,,,"deep diving, treasure troves",1940,181760
Wide Road Ahead,"Fisher, Anne B.",,,276,https://www.worldcat.org/title/wide-road-ahead-the-story-of-a-woman-bacteriologist/oclc/1415319,,TRUE,,,women bacteriologists,1939,597125
The Days are Fled,"Marks, Percy",,TRUE,,,,TRUE,,,,1939,162275
Yesterday’s Dreams,"Feiner, Ruth",,,,https://www.worldcat.org/title/yesterdays-dreams/oclc/937429223,,TRUE,,,,1939,151785
Dr. Bradley Remembers,"Young, Francis Brett",,,359,https://www.worldcat.org/title/dr-bradley-remembers/oclc/990290829,https://www.goodreads.com/book/show/6703210-dr-bradley-remembers,TRUE,3.75,4,,1938,147408
To Remember at Midnight,"Foster, Michael",,,281,https://www.worldcat.org/title/to-remember-at-midnight/oclc/916544207,,TRUE,,,,1938,151797
Little Saints Annoy the Lord,"Hutchinson, Arthur Howard",,,227,https://www.worldcat.org/title/little-saints-annoy-the-lord/oclc/11476365,,TRUE,,,,1938,155487
Spirit of the Wild Rosebush,"Laughon, Albert J.",,,362,https://www.worldcat.org/title/spirit-of-the-wild-rosebush-a-novel-of-the-pioneer-period-of-the-inland-empire/oclc/760717749,,TRUE,,,Frontier and pioneer life,1938,764923
A Great Lord,"Frischauer, Paul","(translator) Blewitt, Phyllis | (translator) Blewitt, Trevor",,348,https://www.worldcat.org/title/great-lord/oclc/4561976,,TRUE,,,,1937,294787
Down the Dark Street,"Fenton, Jessie",,,,https://www.worldcat.org/title/down-the-dark-street/oclc/314522461,https://www.goodreads.com/book/show/18857221-down-the-dark-street,TRUE,3,1,,1937,596980
Towers with Ivy,"Moody, Minnie Hite",,,314,https://www.worldcat.org/title/towers-with-ivy/oclc/32111397,,TRUE,,,,1937,596062
The Wooden Pillow,"Fallas, Carl",,,244,https://www.worldcat.org/title/wooden-pillow/oclc/459470539,,TRUE,,,,1936,151780
Fires Underground,"Liepman, Heinz","(translator) Clark, R.T.",,300,https://www.worldcat.org/title/fires-underground-a-narrative-of-the-secret-struggle-carried-on-by-the-illegal-organizations-in-germany-under-penalty-of-death/oclc/255675582,,TRUE,,,Germany,1936,743537
Rico,"de Fierro Blanco, Antonio",Antonio,,,https://www.worldcat.org/title/rico-bandit-and-dictator-a-novel/oclc/314534966,,TRUE,,,,1934,213892
Mostly Canallers,"Edmonds, Walter D.",,,467,https://www.worldcat.org/title/mostly-canallers-collected-stories/oclc/15588970,https://www.goodreads.com/book/show/2615553-mostly-canallers,TRUE,3.8,5,"Erie Canal, Canals, Manners and customs, New York",1934,125539
Blue Gold,"Getty, Agnes K.",,,358,https://www.worldcat.org/title/blue-gold-a-romance-of-the-rockies/oclc/17430716,,TRUE,,,"Rocky Mountains, Mountain life",1934,199991
The New House,"Kendall, Nancy Noon",,,388,https://www.worldcat.org/title/new-house/oclc/613091988,,TRUE,,,,1934,154173
Papa La Fleur,"Gale, Zona",,,154,https://www.worldcat.org/title/papa-la-fleur/oclc/16516926,,TRUE,,,,1933,420245
Mutiny on the Long Trail,"Rea, Ella M.",,,98,https://www.worldcat.org/title/mutiny-on-the-long-trail/oclc/5933222,,TRUE,,,"Frontier and pioneer life, families, wagon trains",1933,206989
Drei Soldaten,"Dos Passos, John",,TRUE,,,,TRUE,,,,1932,133078
A Romance of Old Fort Hall,"Teicher, Minerva Kohlhepp",,,165,https://www.worldcat.org/title/romance-of-old-fort-hall/oclc/5139238,https://www.goodreads.com/book/show/25028764-a-romance-of-old-fort-hall,TRUE,0,0,"Fort Hall, Idaho, Frontier and pioneer life, Indians of North America",1932,161229
The Loop,Thirteen Oregon Authors,,,259,https://www.worldcat.org/title/loop-a-tale-of-the-oregon-country/oclc/1870689,,TRUE,,,"Oregon, Short stories",1931,161199
The Return of the Hero,"Figgis, Darrell",,,221,https://www.worldcat.org/title/return-of-the-hero/oclc/804911926,,TRUE,,,,1930,615553
This Side of Jordan,"Bradford, Roark",,,225,https://www.worldcat.org/title/this-side-of-jordan/oclc/918194344,,TRUE,,,,1929,583932
The Seven Vices,"Ferrero, Guglielmo","(translator) Livingston, Arthur | (translator) Abbott, Elisabeth",,,https://www.worldcat.org/title/seven-vices-a-novel-of-italy-in-our-own-times/oclc/570911139,,TRUE,,,Italy,1929,615538
The Maurizius Case,"Wassermann, Jakob","(translator) Newton, Caroline",,546,https://www.worldcat.org/title/maurizius-case/oclc/13206011,https://www.goodreads.com/book/show/1888269.The_Maurizius_Case,TRUE,4.02,109,,1929,163403
Pelts and Powder,"McKelvie, B.A.",,,238,https://www.worldcat.org/title/pelts-and-powder-a-study-of-the-west-coast-in-the-making/oclc/71370355,,TRUE,,,"Canada, Discoveries and exploration, Discoveries in geography",1929,747330
General Crack,George Preedy,,,,,https://www.goodreads.com/book/show/8736270-general-crack,TRUE,4,1,,1928,418450
As a Woman Sows,"Hales, A. G.",,,288,https://www.worldcat.org/title/as-a-woman-sows/oclc/13392011,,TRUE,,,,1928,206667
The Grandson,"Dixelius, Hildur","(translator) Settergren, A.C.",,273,https://www.worldcat.org/title/grandson-a-sequel-to-the-son/oclc/4651546,,TRUE,,,,1928,595084
Chuck Ryan,"Pierce, Frank Richardson",,,,https://www.worldcat.org/title/chuck-ryan-logger/oclc/12374448,,TRUE,,,,1928,212963
That Island,"Marshall, Archibald",,,346,https://www.worldcat.org/title/that-island/oclc/492764176,,TRUE,,,,1927,600447
East Side West Side,"Riesenberg, Felix",,,376,https://www.worldcat.org/title/east-side-west-side/oclc/32785380,https://www.goodreads.com/book/show/8666321-east-side-west-side,TRUE,2,1,,1927,211038
Worlds’ Ends,"Wassermann, Jakob","(translator) Galantière, Lewis",,278,https://www.worldcat.org/title/worlds-ends/oclc/3691855,,TRUE,,,,1927,322252
Chechahco and Sourdough,"Bone, Scott C.",,,281,https://www.worldcat.org/title/chechahco-and-sourdough-a-story-of-alaska/oclc/960053555,,TRUE,,,,1926,65321
Preface to Life,"Gale, Zona",,,,https://www.worldcat.org/title/preface-to-a-life/oclc/185470871,,TRUE,,,,1926,160852
The Castle of San Salvo,"Clarke, Isabel C.",,,416,https://www.worldcat.org/title/castle-of-san-salvo-a-novel/oclc/3929349,,TRUE,,,,1926,251145
Friends of Mr. Sweeney,"Davis, Elmer Holmes",,,282,https://www.worldcat.org/title/friends-of-mr-sweeney/oclc/367070365,https://www.goodreads.com/book/show/22744882-friends-of-mr-sweeney,TRUE,0,0,,1925,211650
Soundings,"Gibbs, A. Hamilton",,,320,https://www.worldcat.org/title/soundings-a-novel/oclc/2006454,https://www.goodreads.com/book/show/6435946-soundings,TRUE,3.5,6,,1925,152073
The Abbé Constantin,"Halévy, Ludovic",,TRUE,,,,TRUE,,,,1923,595066
The Penitent,"Underwood, Edna Worthley",,,367,https://www.worldcat.org/title/penitent/oclc/681600931,https://www.goodreads.com/book/show/44256418-the-penitent,TRUE,0,0,,1922,316171
Life,"Bojer, Johan","(translator) Muir, Jessie",,,https://www.worldcat.org/title/life/oclc/944425373,https://www.goodreads.com/book/show/44737882-life,TRUE,0,0,,1920,291955
The Statue in the Wood,"Pryce, Richard",,,,https://www.worldcat.org/title/statue-in-the-wood/oclc/940835356,https://www.goodreads.com/book/show/6779422-the-statue-in-the-wood,TRUE,0,0,,1918,206979
The Inn of Disenchantment,"Ysaye, Lisa",,,156,https://www.worldcat.org/title/inn-of-disenchantment/oclc/42428251,,TRUE,,,,1917,221090
The Willow Weaver,"Wood, Michael",,,143,https://www.worldcat.org/title/willow-weaver-and-seven-other-tales/oclc/20645047,https://www.goodreads.com/book/show/12656604-the-willow-weaver-and-seven-other-tales,TRUE,0,0,,1916,592443
Petey Simmons at Siwash,"Fitch, George","(illustrator) Widney, G.C.",,,https://www.worldcat.org/title/petey-simmons-at-siwash/oclc/1083987242,https://www.goodreads.com/book/show/17738000-petey-simmons-at-siwash,TRUE,4,1,,1916,615551
Content with Flies,"Findlater, Mary",,,,https://www.worldcat.org/title/content-with-flies/oclc/946018284,https://www.goodreads.com/book/show/14398223-content-with-flies,TRUE,0,0,,1916,596965
Club Stories,Washington State Federation of Women's Clubs,,TRUE,,,,TRUE,,,,1915,332612
The Rim of the Desert,"Anderson, Ada Woodruff",,,,https://www.worldcat.org/title/rim-of-the-desert/oclc/990958050,https://www.goodreads.com/book/show/7608871-the-rim-of-the-desert,TRUE,0,0,,1915,160471
Fingers That See,"Buskett, Nancy",,,138,https://www.worldcat.org/title/fingers-that-see/oclc/6783315,https://www.goodreads.com/book/show/34361643-fingers-that-see,TRUE,0,0,,1914,244822
The White Stone,"France, Anatole",,,120,https://www.worldcat.org/title/white-stone/oclc/958517150,https://www.goodreads.com/book/show/3119719-the-white-stone,TRUE,2.87,15,,1914,3147634
Crossriggs,"Findlater, Mary",,,380,https://www.worldcat.org/title/crossriggs/oclc/623300003,https://www.goodreads.com/book/show/6386593-crossriggs,TRUE,4.07,29,,1913,596966
"Paul Carah, Cornishman","Lee, Charles","(illustrator) Browne, Gordon",,,https://www.worldcat.org/title/paul-carah-cornishman/oclc/1007066534,https://www.goodreads.com/book/show/37463834-paul-carah-cornishman,TRUE,0,0,,1912,219033
The Dangerous Age,"Michaëlis, Karin","(translator) Michaëlis, Karin",,,https://www.worldcat.org/title/dangerous-age-letters-fragments-from-a-womans-diary/oclc/1083902519,https://www.goodreads.com/book/show/542731.The_Dangerous_Age,TRUE,3.35,48,,1911,431178
The Superintendent,"Grissom, Irene Welch",,,228,https://www.worldcat.org/title/superintendent/oclc/228686556,https://www.goodreads.com/book/show/18335598-the-superintendent,TRUE,2,1,,1910,260421
"John Marvel, Assistant","Page, Thomas Nelson",,,,https://www.worldcat.org/title/john-marvel-assistant/oclc/1084239043,https://www.goodreads.com/book/show/32161001-john-marvel-assistant-vol-2,TRUE,0,0,,1909,208868
The Strain of White,"Anderson, Ada Woodruff",,,,https://www.worldcat.org/title/strain-of-white/oclc/1084233566,https://www.goodreads.com/book/show/25820681-the-strain-of-white,TRUE,3,1,,1909,160578
"A Half-Breed Dance, And Other Far Western Stories","Kemp, Randall Harold",,,,https://www.worldcat.org/title/half-breed-dance-and-other-far-western-stories-mining-camp-indian-and-hudsons-bay-tales/oclc/940465669,https://www.goodreads.com/book/show/31757546-a-half-breed-dance-and-other-far-western-stories,TRUE,0,0,,1909,747411
The Romance of a Poor Young Man,"Feuillet, Octave",,,54,https://www.worldcat.org/title/honor-before-wealth-or-the-romance-of-a-poor-young-man-a-drama-in-four-acts/oclc/1013368702,https://www.goodreads.com/book/show/1428493.The_Romance_of_a_Poor_Young_Man,TRUE,3.93,43,,1908,262509
Flowers o’ the Orange,"Castle, Agnes | Castle, Egerton",,,,https://www.worldcat.org/title/flower-o-the-orange-and-other-stories/oclc/1083980035,https://www.goodreads.com/book/show/30597110-flower-o-the-orange,TRUE,0,0,,1908,244370
Lonely Lady of Grosvenor Square,"De La Pasture, Henry",,,,https://www.worldcat.org/title/lonely-lady-of-grosvenor-square/oclc/940470079,https://www.goodreads.com/book/show/11738566-the-lonely-lady-of-grosvenor-square,TRUE,4.5,2,,1907,211580
The Clammer,"Hopkins, William John",,,,https://www.worldcat.org/title/clammer/oclc/935133607,https://www.goodreads.com/book/show/26303156-the-clammer,TRUE,5,1,,1906,208479
The Passing of a Race and More Tales of Western Life,"Higgins, David William",,,,https://www.worldcat.org/title/passing-of-a-race-and-more-tales-of-western-life/oclc/926731042,https://www.goodreads.com/book/show/11004484-the-passing-of-a-race,TRUE,0,0,,1905,286229
The Rivals,"Coppée, François ",,,99,https://www.worldcat.org/title/rivals/oclc/669184649,,TRUE,,,,1905,261505
Slaves of Success,"Flower, Elliott","(illustrator) Hambridge, Jay",,,https://www.worldcat.org/title/slaves-of-success/oclc/940841482,https://www.goodreads.com/book/show/32534471-slaves-of-success,TRUE,0,0,,1905,268083
An Evans of Suffolk,"Farquhar, Anna",,,408,https://www.worldcat.org/title/evans-of-suffolk/oclc/951278158,,TRUE,,,,1904,212002
Burlesques,"Thackeray, William Makepeace",,,282,https://www.worldcat.org/title/burlesques/oclc/224682019,https://www.goodreads.com/book/show/1264334.Burlesques,TRUE,3,17,,1904,716308
Trent’s Trust,"Harte, Bret",,,264,https://www.worldcat.org/title/trents-trust-the-crusade-of-the-excelsior/oclc/610403378,https://www.goodreads.com/book/show/26994581-trent-s-trust,TRUE,3,1,,1903,18040
The Romance of an Old Fool,"Field, Roswell Martin",,,,https://www.worldcat.org/title/romance-of-an-old-fool/oclc/920917702,https://www.goodreads.com/book/show/7466969-the-romance-of-an-old-fool,TRUE,3.29,7,,1902,212446
A Dornfield Summer,"Haley, Mary Murkland","(illustrator) Richards, Hariet Roosevelt",,302,https://www.worldcat.org/title/dornfield-summer/oclc/20214295,,TRUE,,,,1902,286409
Fomá Grodyéeff,"Gorky, Maksim","(translator) Hapgood, Isabel F.",TRUE,,,,TRUE,,,,1901,341288
From Sand Hill to Pine | A Tourist from Injianny,"Harte, Bret",,,,https://www.worldcat.org/title/from-sand-hill-to-pine-and-a-tourist-from-injianny/oclc/926907024,https://www.goodreads.com/book/show/28954664-from-sand-hill-to-pine-tourist-from-injianny,TRUE,4.33,3,,1900,18029
Gambara,"Balzac, Honoré de","(translator) Walls, Thos. H. | (translator) Massimila Doni",,49,https://www.worldcat.org/title/gambara/oclc/170925854,https://www.goodreads.com/book/show/1429645.Gambara,TRUE,3.27,105,,1899,223757
The Accursed Child,"Balzac, Honoré de","(translator) Ives, G. Burnham",TRUE,,,,TRUE,3.5,2,,,xxx
Their Silver Wedding Journey,"Howells, William Dean",,,,https://www.worldcat.org/title/their-silver-wedding-journey/oclc/181792387,https://www.goodreads.com/book/show/11335158-their-silver-wedding-journey,TRUE,4.29,7,,1899,200763
Madame Thérèse,"Erckmann, Emile | Chatrain, Alexandre",,,,https://www.worldcat.org/title/madame-therese-or-the-volunteers-of-92/oclc/983869548,https://www.goodreads.com/book/show/8944902-madame-th-r-se#,TRUE,2.5,2,,1898,431417
Rex Wayland’s Fortune,"Stanley, H. A.",,,391,https://www.worldcat.org/title/rex-waylands-fortune/oclc/43441486,,TRUE,,,,1898,3002586
The Story of an Untold Love,"Ford, Paul Leicester",,,,https://www.worldcat.org/title/story-of-an-untold-love/oclc/1007044860,https://www.goodreads.com/book/show/19053788-the-story-of-an-untold-love,TRUE,3.67,12,,1897,216011
Thankful Blossom,"Harte, Bret",,,,https://www.worldcat.org/title/thankful-blossom/oclc/1084368712,https://www.goodreads.com/book/show/9835368-thankful-blossom,TRUE,4.5,2,,1896,139652
The Holy Cross,"Field, Eugene",,,112,https://www.worldcat.org/title/in-a-hollow-of-the-hills/oclc/52218670,https://www.goodreads.com/book/show/11570136-the-holy-cross-and-other-tales,TRUE,2,5,,1896,594202
In a Hollow of the Hills,"Harte, Bret",,,,https://www.worldcat.org/title/in-a-hollow-of-the-hills/oclc/1078556323,https://www.goodreads.com/book/show/1685477.In_a_Hollow_of_the_Hills,TRUE,3.5,16,,1895,437482
The Honorable Peter Stirling and What People Thought of Him,"Ford, Paul Leicester",,,619,https://www.worldcat.org/title/honorable-peter-stirling-and-what-people-thought-of-him/oclc/953660555,https://www.goodreads.com/book/show/19490871-the-honorable-peter-stirling-and-what-people-thought-of-him,TRUE,4.17,12,,1894,126947
His Vanished Star,"Craddock, Charles Egbert",,,,https://www.worldcat.org/title/his-vanished-star/oclc/940489723,https://www.goodreads.com/book/show/44816174-his-vanished-star,TRUE,0,0,,1894,215086
The House,"Field, Eugene",,,,https://www.worldcat.org/title/house/oclc/980283144,https://www.goodreads.com/book/show/2624343-the-house,TRUE,3.75,4,,1893,420088
Colonel Starbottle’s Client,"Harte, Bret",,,,https://www.worldcat.org/title/colonel-starbottles-client-and-some-other-people/oclc/1083967677,https://www.goodreads.com/book/show/1402664.Colonel_Starbottle_s_Client,TRUE,3.7,10,,1892,279379
Ten Tales,"Coppée, François ",,,,https://www.worldcat.org/title/ten-tales/oclc/920917499,https://www.goodreads.com/book/show/3286672-ten-tales,TRUE,3.67,9,,1890,261498
A Ward of the Golden Gate,"Harte, Bret",,,259,https://www.worldcat.org/title/ward-of-the-golden-gate-the-heritage-of-dedlow-marsh-and-other-tales/oclc/1819478,https://www.goodreads.com/book/show/14327948-a-ward-of-the-golden-gate,TRUE,4,4,,1890,18041
The Reverberator,"James, Henry",,,,https://www.worldcat.org/title/reverberator-dodo-press/oclc/154804210,https://www.goodreads.com/book/show/1403563.The_Reverberator,TRUE,3.37,145,,1888,287374
"A Phyllis of the Sierras, and A Drift from Redwood Camp","Harte, Bret",,,,https://www.worldcat.org/title/phyllis-of-the-sierras-and-a-drift-from-redwood-camp/oclc/1101663477,https://www.goodreads.com/book/show/31894885-a-millionaire-of-rough-and-ready,TRUE,0,0,,1887,284291
Monsieur de Camors,"Feuillet, Octave",,,,https://www.worldcat.org/title/monsieur-de-camors/oclc/59770022,https://www.goodreads.com/book/show/9469454-monsieur-de-camors,TRUE,4.33,3,,1884,715564
"Asmodeus, or The Devil Upon Two Sticks","Le Sage, Alain René",,TRUE,,,,TRUE,,,,1707,317673
The Best Continental Short Stories of 1926,,,TRUE,,,,TRUE,,,,,514236
